Plaza Mayor; 40.415536613857554, -3.7073976287051895
Sol; 40.41678199210864, -3.704131306697991
Museo Nacional Thyssen; 40.41632887368454, -3.6949973398405107
Museo Nacional del Pardo; 40.4139208482069, -3.6921114785429294
Real Jardín Botánico; 40.41115172638012, -3.6915815992699264
Parque del Retiro; 40.41518617057969, -3.6845245707703804
Museo Nacional Reina Sofía; 40.40862087270479, -3.694428326983865
Estación de Atocha; 40.40685289134256, -3.6881120833872707
